source,new_source,group,dijkstra_dheap,rdijkstra_dag_dheap,rdijkstra_tree_dheap,rauction_dag_dheap,rauction_tree_dheap,dijkstra_radix,rdijkstra_dag_radix,rdijkstra_tree_radix,rauction_dag_radix,rauction_tree_radix
108210,92941,10,43.074,39.680,43.459,2.237,2.111,20.591,19.806,19.526,2.255,2.024
108210,54780,10,42.019,49.760,47.443,2.249,2.025,19.404,17.636,22.361,2.488,2.612
108210,54780,10,45.574,41.665,39.141,2.220,2.001,18.530,17.745,17.847,2.167,2.021
138279,114536,1,43.179,61.076,43.787,2.316,2.555,20.454,19.223,19.014,2.147,2.025
138279,114536,1,39.538,38.803,39.999,2.211,2.037,18.797,18.523,19.343,2.318,2.305
138279,46044,1,40.358,39.841,40.461,89.468,89.847,22.221,20.896,20.506,90.997,93.839
138279,46044,1,47.397,42.770,42.137,89.937,89.825,19.009,17.810,17.551,88.607,90.460
138279,5750,1,38.657,43.543,39.689,53.535,54.252,18.868,17.750,17.687,53.369,54.595
138279,5750,1,39.017,38.627,42.137,56.335,56.159,18.680,17.663,17.746,53.769,54.373
138279,402,2,39.545,39.576,38.686,35.580,36.821,19.621,17.656,19.329,35.927,36.915
138279,402,2,39.050,39.298,38.920,36.640,38.006,23.269,22.607,22.430,39.310,38.468
138279,78669,2,38.721,41.665,41.778,14.419,14.908,18.971,17.836,17.796,14.690,14.798
138279,78669,2,39.742,39.455,40.054,14.418,15.615,19.931,17.830,17.823,14.433,15.902
138279,57435,2,38.970,62.334,40.746,23.222,23.841,18.901,18.479,17.642,23.013,24.049
138279,57435,2,42.694,38.957,38.758,22.883,29.259,24.803,22.858,23.739,28.073,25.707
138279,6451,3,38.702,41.702,41.625,18.707,19.653,18.819,18.071,18.558,18.752,19.693
138279,6451,3,39.681,38.704,38.751,18.573,19.324,18.549,20.601,18.738,18.755,19.526
138279,1748,3,38.678,39.100,39.014,18.603,19.547,18.620,17.624,18.779,18.746,19.523
138279,1748,3,38.677,38.869,38.644,18.845,24.887,25.844,20.375,18.423,18.985,19.584
138279,97363,3,41.358,40.165,39.445,8.567,8.252,18.937,17.738,17.592,8.257,8.475
138279,97363,3,42.875,39.326,38.342,8.319,8.226,20.702,21.450,19.065,8.923,8.217
138279,48842,4,38.312,38.798,41.073,2.183,2.003,19.865,18.589,19.641,2.496,2.064
138279,48842,4,43.563,46.088,44.638,2.322,2.154,23.165,23.646,19.616,2.270,2.140
138279,123234,4,50.765,46.076,44.315,6.520,6.157,19.425,20.629,19.736,6.400,6.146
138279,123234,4,42.377,41.770,41.562,6.460,6.325,19.827,19.113,18.539,6.966,6.375
138279,124061,4,41.224,44.772,42.513,2.308,2.027,19.468,18.198,20.379,2.423,2.027
138279,124061,4,55.963,39.410,38.816,2.184,2.007,19.331,19.268,17.768,2.217,2.011
138279,152287,5,39.653,38.115,38.479,10.395,6.201,18.512,17.566,17.634,10.332,6.231
138279,152287,5,39.906,39.499,38.734,11.086,6.203,18.799,17.483,17.720,10.327,6.298
138279,61508,5,38.729,38.901,39.419,10.290,10.429,18.570,17.648,17.492,10.419,10.536
138279,61508,5,38.745,38.469,39.458,10.241,10.422,19.188,17.688,18.237,10.227,10.593
138279,35791,5,38.684,39.015,39.494,4.189,4.041,18.505,17.777,17.692,4.190,4.070
138279,35791,5,41.953,40.699,39.499,7.211,4.170,19.122,17.861,18.788,4.364,4.027
138279,21840,6,38.797,38.345,38.778,2.282,2.023,18.574,17.596,18.435,2.185,2.031
138279,21840,6,39.365,38.189,38.846,2.219,2.006,18.417,18.999,22.745,2.350,2.169
138279,111569,6,38.490,45.469,41.466,10.285,10.546,18.606,17.637,17.802,10.265,10.686
138279,111569,6,38.949,38.753,40.521,15.299,20.120,29.568,24.970,17.641,10.397,10.748
138279,25193,6,38.631,38.509,38.903,4.673,4.424,20.148,17.959,19.557,4.219,4.147
138279,25193,6,38.482,39.801,42.476,4.291,4.046,18.574,31.960,31.537,8.198,8.399
138279,95930,7,38.513,39.834,38.725,4.224,4.057,18.342,17.691,17.934,4.185,4.106
138279,95930,7,38.408,39.221,39.075,4.268,4.028,18.567,17.614,17.676,4.320,4.026
138279,61208,7,38.935,38.541,38.643,4.192,4.052,18.570,17.723,17.628,5.186,4.125
138279,61208,7,39.402,38.635,38.624,4.213,4.032,18.394,17.680,17.535,4.227,4.056
138279,106082,7,38.729,38.919,39.050,4.325,4.069,19.265,17.633,17.497,4.274,4.041
138279,106082,7,39.230,38.334,38.703,4.244,4.147,18.808,17.782,17.714,4.217,4.239
138279,104615,8,38.647,41.485,38.274,2.195,2.012,18.147,17.447,19.109,2.450,2.257
138279,104615,8,40.522,38.452,38.740,2.194,2.006,18.813,17.806,17.421,2.203,2.007
138279,103510,8,49.634,53.565,51.900,2.507,2.135,24.318,23.423,24.426,2.258,2.054
138279,103510,8,52.905,50.694,51.556,2.752,2.061,22.978,24.155,21.545,2.253,2.271
138279,112053,8,52.956,50.236,43.901,2.236,2.452,19.217,18.410,18.360,2.195,2.016
