source,new_source,group,dijkstra_dheap,rdijkstra_dheap,dijkstra_radix,rdijkstra_radix
87560,14762,56,15.271,15.221,13.304,14.845
87560,39686,56,15.504,16.127,13.861,14.742
87560,39686,56,15.187,15.887,13.382,14.540
87560,9529,57,14.877,14.946,14.705,16.540
87560,9529,57,16.030,16.428,14.326,25.018
87560,88962,57,15.184,15.317,13.645,14.830
87560,88962,57,15.241,15.113,13.916,14.648
87560,522,57,15.193,15.390,13.385,14.595
87560,522,57,14.807,15.214,13.438,15.008
87560,55727,58,15.583,16.139,14.157,15.058
87560,55727,58,15.438,15.688,13.991,15.025
87560,61305,58,14.736,15.732,12.841,13.807
87560,61305,58,14.126,14.822,12.763,13.835
87560,73064,58,15.419,16.303,13.776,15.506
87560,73064,58,15.773,15.751,13.708,15.883
87560,27493,59,14.484,27.765,18.345,17.945
87560,27493,59,16.737,16.181,14.837,14.787
87560,7775,59,15.063,15.143,14.510,18.637
87560,7775,59,16.582,15.592,15.425,15.724
87560,86000,59,15.636,15.777,14.856,15.641
87560,86000,59,15.582,15.440,13.764,14.808
87560,98768,60,16.068,16.807,14.340,15.525
87560,98768,60,16.244,15.695,13.973,14.826
87560,99124,60,14.932,14.863,13.080,14.157
87560,99124,60,14.494,14.373,12.882,14.162
87560,84619,60,13.648,14.236,13.151,14.016
87560,84619,60,14.577,14.663,15.389,16.419
87560,38173,61,14.616,14.880,13.188,13.560
87560,38173,61,14.251,14.540,12.793,14.335
87560,11336,61,15.030,14.690,13.050,13.922
87560,11336,61,13.862,14.437,13.202,14.204
87560,88697,61,14.569,14.717,13.318,14.559
87560,88697,61,14.559,14.817,12.945,14.010
87560,20782,62,14.103,15.103,13.002,14.361
87560,20782,62,14.667,14.696,12.950,13.379
87560,44295,62,14.212,13.941,12.596,14.136
87560,44295,62,14.492,14.817,13.146,13.266
87560,93776,62,13.948,20.061,13.355,14.029
87560,93776,62,14.337,19.585,13.070,14.530
87560,828,63,14.098,14.274,12.962,13.978
87560,828,63,14.242,14.079,12.681,13.915
87560,87555,63,14.034,14.973,12.966,13.870
87560,87555,63,14.308,14.998,12.908,13.914
87560,79761,63,14.201,14.603,12.654,13.760
87560,79761,63,14.277,14.043,12.783,13.404
87560,39074,64,13.929,14.116,13.993,15.558
87560,39074,64,15.278,14.264,13.349,13.781
87560,23930,64,14.447,14.339,12.785,13.719
87560,23930,64,14.885,14.774,13.184,13.928
87560,76122,64,14.687,15.780,13.027,14.933
87560,76122,64,18.917,19.089,14.991,14.859
87560,11345,65,15.467,15.263,13.226,14.419
87560,11345,65,14.570,14.744,13.285,14.378
87560,5573,65,14.168,14.538,13.173,14.420
87560,5573,65,14.647,15.162,13.152,13.994
